source,target,weight
3,962,1
3,11372,1
4,3504,1
4,7097,1
4,13312,1
4,13313,1
4,13314,1
13,25,1
13,310,1
13,559,1
13,561,1
13,685,1
13,924,1
13,1314,1
13,1488,1
13,1571,1
13,1847,1
13,3012,1
13,8001,1
13,13513,1
13,13518,1
13,20276,1
13,24988,1
13,40287,1
15,18,1
15,67,1
15,3047,1
15,34100,1
16,11650,1
18,67,1
18,3047,1
18,3941,1
18,34100,1
25,14301,1
33,98,1
33,589,1
33,874,1
34,217,1
34,985,1
34,22250,1
34,700146,1
37,597,1
37,602,1
62,10565,1
62,42063,1
67,630,1
67,1232,1
67,3047,1
67,11650,1
67,34100,1
79,3484,1
93,8116,1
98,99,1
98,1488,1
98,1882,1
98,14224,1
98,14310,1
98,22250,1
99,1488,1
116,217,1
116,1488,1
116,15760,1
118,123,1
118,634,1
118,1762,1
118,3107,1
118,3114,1
118,7120,1
118,700146,1
122,1762,1
122,2112,1
128,630,1
128,10565,1
145,1762,1
150,3033,1
150,3759,1
150,10565,1
174,4001,1
174,10565,1
185,205,1
185,280,1
185,282,1
185,7097,1
185,13674,1
185,13675,1
185,26518,1
185,700146,1
198,12428,1
200,3997,1
200,10681,1
200,22250,1
200,24380,1
205,280,1
205,282,1
205,559,1
211,405,1
211,1058,1
211,4001,1
211,10565,1
211,10566,1
211,22849,1
213,1488,1
213,3351,1
217,559,1
217,621,1
217,636,1
217,797,1
217,1092,1
217,1096,1
217,1488,1
217,1558,1
217,1634,1
217,1653,1
217,1661,1
217,1730,1
217,1762,1
217,1828,1
217,1844,1
217,1881,1
217,3957,1
217,8049,1
217,8116,1
217,13612,1
217,15884,1
217,19611,1
217,20221,1
217,20498,1
217,39847,1
223,1488,1
237,559,1
237,1488,1
245,279,1
245,1762,1
249,8013,1
262,1502,1
262,1945,1
262,1949,1
262,7011,1
262,7097,1
262,7317,1
262,7336,1
262,7390,1
267,1229,1
267,1762,1
268,318,1
271,559,1
271,1558,1
271,3180,1
279,326,1
279,630,1
279,986,1
279,1315,1
279,1558,1
279,1881,1
280,282,1
280,8153,1
295,13972,1
299,1488,1
299,1558,1
299,3700,1
299,7161,1
299,13378,1
301,1309,1
301,13573,1
315,8016,1
318,1653,1
318,7069,1
318,12319,1
326,3638,1
326,7053,1
332,630,1
332,1169,1
332,1558,1
332,1615,1
332,1762,1
332,1777,1
332,3997,1
332,7097,1
332,46425,1
332,52462,1
345,1789,1
345,3184,1
348,828,1
348,8153,1
373,375,1
375,402,1
375,628,1
375,780,1
375,1453,1
375,1762,1
375,1847,1
375,2022,1
375,11578,1
375,17517,1
375,19123,1
402,1489,1
456,16098,1
487,1488,1
487,13378,1
512,1349,1
512,8075,1
512,16458,1
513,531,1
521,3908,1
521,16667,1
530,531,1
531,22250,1
559,561,1
559,628,1
559,630,1
559,636,1
559,663,1
559,962,1
559,1036,1
559,1314,1
559,1488,1
559,1555,1
559,1617,1
559,1661,1
559,1662,1
559,1762,1
559,2032,1
559,3484,1
559,3977,1
559,4001,1
559,4112,1
559,7063,1
559,7070,1
559,7239,1
559,7240,1
559,7397,1
559,8016,1
559,8072,1
559,11135,1
559,11800,1
559,14973,1
559,16745,1
559,26456,1
559,52268,1
561,3013,1
561,16745,1
562,1488,1
569,874,1
586,593,1
589,593,1
593,43692,1
597,602,1
597,3303,1
602,1309,1
621,3356,1
621,43532,1
628,1488,1
628,1555,1
628,1730,1
628,1762,1
628,2022,1
628,3313,1
628,3718,1
628,8116,1
628,16745,1
628,19149,1
628,24894,1
628,27761,1
630,636,1
630,642,1
630,656,1
630,780,1
630,1316,1
630,1488,1
630,1558,1
630,1634,1
630,1730,1
630,1847,1
630,1877,1
630,3321,1
630,3325,1
630,4153,1
630,7358,1
630,8116,1
630,8153,1
630,11701,1
630,13972,1
630,15751,1
630,17724,1
630,17730,1
630,17743,1
630,27761,1
630,40396,1
630,52545,1
631,3321,1
634,636,1
634,8049,1
634,15598,1
636,664,1
636,1309,1
636,1315,1
636,1316,1
636,8049,1
642,3321,1
642,52545,1
655,4175,1
656,17743,1
663,1957,1
664,1314,1
664,1762,1
664,8049,1
664,8165,1
667,3331,1
685,46642,1
686,26376,1
704,16877,1
718,1762,1
728,1762,1
728,7240,1
728,17100,1
770,1762,1
797,1464,1
810,3388,1
818,3484,1
828,1615,1
828,1750,1
828,1885,1
828,44637,1
828,44640,1
828,44641,1
830,832,1
832,1314,1
840,12053,1
840,12951,1
843,1243,1
843,12604,1
853,1309,1
861,3997,1
861,4112,1
861,4165,1
874,1232,1
874,18272,1
874,571577,1
875,1903,1
882,39817,1
899,1767,1
911,1558,1
911,1762,1
911,8116,1
911,12319,1
913,1391,1
941,1762,1
941,47457,1
942,1488,1
953,7011,1
953,8116,1
962,1309,1
962,2032,1
962,8116,1
964,1762,1
968,3468,1
971,1762,1
971,7390,1
971,8116,1
986,7097,1
986,8075,1
987,17275,1
1004,4001,1
1005,19598,1
1006,1488,1
1006,1885,1
1024,1762,1
1024,3528,1
1025,3502,1
1036,1096,1
1048,1762,1
1048,3504,1
1048,3505,1
1079,19733,1
1079,19735,1
1079,22550,1
1086,1096,1
1086,3501,1
1086,8116,1
1086,19149,1
1092,13810,1
1096,1169,1
1096,1558,1
1096,19149,1
1096,46642,1
1108,19155,1
1144,2022,1
1144,13712,1
1169,8177,1
1169,20180,1
1169,699695,1
1171,1309,1
1183,13809,1
1201,1762,1
1201,34020,1
1204,8090,1
1207,7011,1
1207,13243,1
1207,15706,1
1225,1488,1
1229,7097,1
1230,1488,1
1230,2022,1
1230,4001,1
1230,27078,1
1236,1762,1
1237,10566,1
1241,1777,1
1302,1309,1
1309,1408,1
1309,1762,1
1309,1789,1
1309,2032,1
1314,1315,1
1314,1316,1
1314,1488,1
1314,1538,1
1314,1762,1
1314,1847,1
1314,3718,1
1314,4001,1
1314,11135,1
1315,1316,1
1316,1762,1
1316,8153,1
1320,1954,1
1326,1762,1
1346,1349,1
1361,1762,1
1361,3709,1
1361,7059,1
1364,8104,1
1366,4001,1
1366,11800,1
1366,68454,1
1391,1392,1
1391,1393,1
1391,1486,1
1391,1488,1
1391,3700,1
1391,7317,1
1393,8165,1
1405,1406,1
1405,1488,1
1408,1450,1
1408,1488,1
1414,1762,1
1443,1450,1
1443,1762,1
1446,7328,1
1446,20885,1
1446,20889,1
1450,1537,1
1450,3351,1
1450,3484,1
1450,4067,1
1450,7323,1
1450,18655,1
1450,27005,1
1450,27007,1
1450,27019,1
1453,1595,1
1453,1762,1
1453,3484,1
1453,7011,1
1455,700465,1
1455,700520,1
1462,20977,1
1464,8116,1
1486,1488,1
1486,8109,1
1488,1571,1
1488,1615,1
1488,1762,1
1488,1835,1
1488,1844,1
1488,1847,1
1488,2022,1
1488,2082,1
1488,2123,1
1488,3700,1
1488,3718,1
1488,3977,1
1488,4001,1
1488,4175,1
1488,7053,1
1488,7109,1
1488,8165,1
1488,11135,1
1488,17743,1
1488,19149,1
1488,20221,1
1488,21226,1
1489,1762,1
1490,8153,1
1491,1496,1
1491,19178,1
1502,1730,1
1531,1762,1
1531,12319,1
1532,1538,1
1537,3461,1
1552,1877,1
1555,8116,1
1558,1617,1
1558,1730,1
1558,1847,1
1558,3180,1
1558,3528,1
1558,3802,1
1558,3810,1
1558,4153,1
1558,7042,1
1558,8165,1
1571,1762,1
1571,4001,1
1571,8116,1
1571,13810,1
1591,11800,1
1595,1600,1
1600,7109,1
1600,17872,1
1615,7097,1
1615,21610,1
1615,46425,1
1617,1762,1
1617,3313,1
1634,1635,1
1634,3842,1
1635,1762,1
1635,4001,1
1635,8116,1
1653,1661,1
1653,12110,1
1658,1957,1
1658,12104,1
1661,3957,1
1662,1954,1
1668,10566,1
1679,21810,1
1722,1762,1
1722,8116,1
1730,3957,1
1730,4001,1
1730,8116,1
1730,10681,1
1730,26373,1
1730,27057,1
1732,12319,1
1762,1844,1
1762,1847,1
1762,1957,1
1762,2007,1
1762,2026,1
1762,2032,1
1762,2112,1
1762,3013,1
1762,3307,1
1762,3484,1
1762,3505,1
1762,3739,1
1762,3941,1
1762,4001,1
1762,7053,1
1762,7099,1
1762,7239,1
1762,7240,1
1762,7323,1
1762,8016,1
1762,8033,1
1762,8109,1
1762,10178,1
1762,10565,1
1762,10566,1
1762,11135,1
1762,11247,1
1762,11337,1
1762,12319,1
1762,13378,1
1762,14074,1
1762,16173,1
1762,16667,1
1762,17517,1
1762,18268,1
1762,18644,1
1762,19611,1
1762,20849,1
1762,21429,1
1762,22199,1
1762,25459,1
1762,27078,1
1762,27762,1
1762,40169,1
1762,42396,1
1762,45682,1
1762,45771,1
1767,3941,1
1773,8150,1
1804,1844,1
1804,22250,1
1824,17355,1
1828,1877,1
1829,8116,1
1844,1891,1
1844,13378,1
1844,22250,1
