source,target,weight
3,13,1
3,62,1
3,79,1
3,117,1
3,118,1
3,211,1
3,334,1
3,345,2
3,559,3
3,561,1
3,586,1
3,628,1
3,634,2
3,636,1
3,728,2
3,830,1
3,962,1
3,1096,1
3,1195,2
3,1302,1
3,1309,3
3,1314,4
3,1326,3
3,1408,1
3,1450,1
3,1488,5
3,1571,1
3,1746,1
3,1762,3
3,1767,1
3,1789,1
3,1807,1
3,1867,1
3,1872,1
3,2022,1
3,2032,2
3,2058,1
3,2074,1
3,2081,1
3,3709,1
3,3718,1
3,3933,1
3,4001,1
3,7391,1
3,8116,2
3,10565,2
3,11372,1
3,13810,1
3,14103,1
3,14209,1
3,14973,1
3,15155,1
3,18395,1
3,18399,1
3,22849,2
3,26151,1
3,34020,1
3,34100,1
3,45753,1
4,185,1
4,262,1
4,332,1
4,986,1
4,1048,1
4,1221,1
4,1229,1
4,1615,1
4,2008,1
4,2015,1
4,3505,1
4,3869,1
4,4001,1
4,4207,1
4,7042,1
4,7097,1
4,8153,1
4,11800,1
4,12941,1
4,12944,1
4,13312,4
4,13313,1
4,13314,2
4,14310,1
4,22072,2
4,46640,1
10,13,1
10,3013,1
13,25,1
13,33,1
13,36,1
13,79,3
13,98,2
13,99,1
13,116,2
13,118,2
13,145,2
13,205,1
13,213,1
13,217,6
13,223,2
13,237,2
13,271,1
13,295,1
13,299,1
13,315,1
13,318,1
13,345,2
13,375,3
13,420,2
13,427,2
13,487,1
13,559,7
13,561,5
13,562,3
13,586,1
13,602,1
13,606,1
13,628,6
13,629,1
13,630,9
13,634,3
13,636,4
13,663,2
13,664,2
13,685,1
13,716,1
13,728,2
13,770,1
13,780,1
13,797,1
13,810,1
13,832,2
13,846,1
13,911,1
13,924,1
13,942,1
13,944,1
13,962,2
13,971,6
13,1006,1
13,1036,1
13,1048,1
13,1092,2
13,1178,1
13,1195,3
13,1207,1
13,1225,1
13,1230,1
13,1306,1
13,1309,4
13,1314,7
13,1315,1
13,1316,2
13,1326,1
13,1349,1
13,1361,1
13,1385,1
13,1391,4
13,1405,1
13,1408,2
13,1414,1
13,1450,1
13,1453,4
13,1455,1
13,1464,1
13,1486,2
13,1488,17
13,1489,1
13,1491,1
13,1538,1
13,1555,3
13,1558,4
13,1571,4
13,1615,2
13,1617,2
13,1635,2
13,1661,1
13,1662,1
13,1719,1
13,1722,1
13,1730,1
13,1762,14
13,1767,1
13,1776,1
13,1789,2
13,1821,1
13,1828,2
13,1835,1
13,1840,1
13,1844,2
13,1847,4
13,1867,1
13,1877,1
13,1881,2
13,1891,1
13,1895,1
13,1945,1
13,1957,1
13,1967,1
13,2007,1
13,2022,3
13,2032,1
13,2036,1
13,2081,1
13,2082,1
13,2123,2
13,3012,2
13,3013,5
13,3033,1
13,3080,1
13,3484,8
13,3528,1
13,3591,1
13,3700,1
13,3709,1
13,3718,4
13,3759,1
13,3829,1
13,3941,1
13,3977,2
13,3997,3
13,4001,11
13,4112,1
13,4124,1
13,4175,1
13,4207,1
13,7053,2
13,7059,5
13,7063,1
13,7068,1
13,7070,2
13,7097,2
13,7108,1
13,7109,1
13,7120,1
13,7126,1
13,7239,3
13,7240,1
13,7308,4
13,7391,2
13,7397,1
13,8001,2
13,8006,1
13,8016,1
13,8057,1
13,8072,1
13,8109,1
13,8116,5
13,8153,1
13,8165,3
13,10226,1
13,10565,1
13,10566,2
13,10681,1
13,11135,3
13,11450,1
13,11800,1
13,12025,2
13,12319,1
13,12941,1
13,13105,1
13,13518,1
13,13554,1
13,13612,1
13,13810,2
13,14043,1
13,14209,1
13,14301,1
13,14386,1
13,14973,1
13,15155,1
13,15460,1
13,16173,1
13,16667,1
13,16745,2
13,16882,2
13,17743,1
13,18268,1
13,18395,1
13,18399,1
13,18521,1
13,18731,1
13,18734,1
13,18735,1
13,19149,1
13,19699,2
13,20221,1
13,20268,1
13,20604,1
13,20672,1
13,21226,1
13,21274,1
13,21796,2
13,22236,1
13,22250,1
13,22403,1
13,22849,1
13,25351,1
13,26456,1
13,27007,1
13,27761,2
13,34020,1
13,34100,1
13,34446,1
13,38219,1
13,40998,1
13,42417,1
13,43532,1
13,45685,1
13,45753,2
13,46642,2
13,46966,1
13,52268,1
13,571594,1
15,18,4
15,67,4
15,559,1
15,630,1
15,1232,1
15,1877,1
15,3047,3
15,3941,1
15,11650,1
15,20221,1
15,34100,3
16,67,2
16,628,1
16,630,1
16,663,1
16,832,1
16,911,1
16,1314,1
16,1488,1
16,1762,1
16,1767,1
16,1847,1
16,1881,1
16,1952,1
16,1954,1
16,3977,1
16,4001,1
16,7391,1
16,8116,1
16,10566,1
16,20221,1
16,22350,1
16,47148,1
18,67,4
18,559,1
18,630,1
18,1232,1
18,1762,1
18,1767,1
18,1877,1
18,3047,3
18,7059,1
18,11650,1
18,15706,1
18,20221,1
18,22250,1
18,34100,3
22,211,1
22,1875,1
22,4001,1
22,17307,1
25,310,1
25,559,1
25,561,1
25,685,1
25,924,1
25,1314,1
25,1391,1
25,1488,1
25,1571,1
25,1615,1
25,1847,1
