mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
1,3,安燾,cluster1_song_and_before,59,3.8747981484044205e-05,0.5511396843950906,0.025126089359008414,1,0,0
2,4,查道,cluster1_song_and_before,26,0.0001568463650450978,0.5476923076923077,0.005816924742344872,1,0,0
3,10,晁謙之,cluster1_song_and_before,2,0.0,1.0,0.0011038773547544691,1,0,0
4,13,晁補之,cluster1_song_and_before,229,0.006096837263072519,0.30184631885390334,0.0856081595940747,1,0,0
5,15,陳安期,cluster1_song_and_before,11,5.0187238350453345e-08,0.8727272727272727,0.004294731087741535,1,0,0
6,16,陳安民,cluster1_song_and_before,22,0.0,1.0,0.012931068501610401,1,0,0
7,18,陳安道,cluster1_song_and_before,15,1.9585577272726894e-06,0.6571428571428571,0.005734936626087043,1,0,0
8,22,陳求道,cluster1_song_and_before,4,0.0,1.0,0.0016531840488206672,1,0,0
9,25,陳洎,cluster1_song_and_before,20,3.473944233932052e-06,0.8052631578947368,0.0084348129537594,1,0,0
10,28,陳絳,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
11,33,陳知儉,cluster1_song_and_before,76,0.00038136672245985914,0.45649122807017545,0.03039020168624957,1,0,0
12,34,陳執中,cluster1_song_and_before,54,0.00043997204903353776,0.47379454926624737,0.022278374646083825,1,0,0
13,36,陳之淵,cluster1_song_and_before,8,1.0913198763017669e-06,0.7142857142857143,0.0033998693772488426,1,0,0
14,37,陳靖,cluster1_song_and_before,5,3.998902537289031e-06,0.6,0.0015361793304938542,1,0,0
15,53,陳紘,cluster1_song_and_before,9,0.0,1.0,0.004256731021180351,1,0,0
16,56,陳若拙,cluster1_song_and_before,1,0.0,0.0,0.0001795039641858856,1,0,0
17,62,陳康伯,cluster1_song_and_before,75,0.00018014342143112623,0.5066666666666667,0.029736381661093436,1,0,0
18,63,陳膏,cluster1_song_and_before,2,6.722402022797706e-08,0.0,0.0003324076023946903,1,0,0
19,67,陳貫,cluster1_song_and_before,72,9.241078086623951e-05,0.5007824726134585,0.029445703685204744,1,0,0
20,78,陳世卿,cluster1_song_and_before,40,0.00040778753643908754,0.6884615384615385,0.017125083197606236,1,0,0
21,79,陳師錫,cluster1_song_and_before,139,0.000913764203370755,0.3856740694401001,0.05174586692831392,1,0,0
22,93,陳從易,cluster1_song_and_before,34,2.1714397145385943e-06,0.9233511586452763,0.01447621536283723,1,0,0
23,94,陳敦夫,cluster1_song_and_before,10,0.0,1.0,0.006747752158923473,1,0,0
24,98,陳堯佐,cluster1_song_and_before,171,0.0008432600873367252,0.4018575851393189,0.07042289177447174,1,0,0
25,99,陳堯咨,cluster1_song_and_before,76,0.00017202520811571557,0.4670175438596491,0.028143611851992597,1,0,0
26,105,陳祐甫,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
27,116,程戡,cluster1_song_and_before,130,0.00014690204992275698,0.5707811568276685,0.06207502206474021,1,0,0
28,117,程克俊,cluster1_song_and_before,30,0.00044907464345767895,0.48735632183908045,0.01084563226704771,1,0,0
29,118,程琳,cluster1_song_and_before,171,0.003841892539069836,0.5059511523907809,0.08206092001475823,1,0,0
30,122,程師孟,cluster1_song_and_before,129,0.0036971872235250724,0.5181686046511628,0.057527455415227455,1,0,0
31,123,程嗣恭,cluster1_song_and_before,15,2.3419632008002015e-06,0.6476190476190476,0.008372827708043271,1,0,0
32,128,程瑀,cluster1_song_and_before,108,0.0031789724273795926,0.33714087919695396,0.031897938805180756,1,0,0
33,145,錢勰,cluster1_song_and_before,174,0.00026053983308519865,0.4859477775563085,0.08317078051479367,1,0,0
34,149,錢時敏,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
35,150,錢端禮,cluster1_song_and_before,68,8.488368278816363e-05,0.6839332748024582,0.027233275151772214,1,0,0
