id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z
3,安燾,An Tao,1065,cluster1_song_and_before,宋,military_industrial,军器/制造,1,1,0,0,0,1,114.34333,34.785477,開封,0,0,0,1,0,59,0.5511396843950906,0.025126089359008414,3.8747981484044205e-05,0.8613688115337816,0.41493430919520324,1.1032565325959733,-0.12326210817951957,-0.3918899761925293,0.8423193593235898
4,查道,Zha Dao,955,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,120.558662,32.384022,如皋,0,0,0,0,0,26,0.5476923076923077,0.005816924742344872,0.0001568463650450978,0.11859004991197668,0.4064672027361118,-0.043279126394719106,-0.03423845519960238,0.9963451959203228,0.1667979309351339
10,晁謙之,Chao Qianzhi,1091,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,117.776588,28.208446,鉛山,0,0,0,0,0,2,1.0,0.0011038773547544691,0.0,-0.42161268581297245,1.5173807213961439,-0.3231294979494795,-0.15247069472655322,0.37495071880780795,-1.0077779257286632
13,晁補之,Chao Buzhi,1049,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,116.08870697,35.396209717,鉅野,0,0,0,0,0,229,0.30184631885390334,0.0856081595940747,0.006096837263072519,4.687804856252171,-0.1973554541713793,4.694548627865565,4.4433815804419945,-0.0020485810185032144,1.0141164728865761
15,陳安期,Chen Anqi,1020,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,112.785721,34.840869,河陽,0,0,0,0,0,11,0.8727272727272727,0.004294731087741535,5.0187238350453345e-08,-0.21903665991611654,1.2047860083532775,-0.1336636323813718,-0.15243286312246,-0.7397921635896829,0.8579009475529307
16,陳安民,Chen Anmin,1027,cluster1_song_and_before,宋,hydraulic,水利/河道,0,1,1,0,0,1,112.785721,34.840869,河陽,0,0,1,0,0,22,1.0,0.012931068501610401,0.0,0.028556260624485158,1.5173807213961439,0.3791430583612685,-0.15247069472655322,-0.7397921635896829,0.8579009475529307
18,陳安道,Chen Andao,1020,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,112.785721,34.840869,河陽,0,0,0,0,0,15,0.6571428571428571,0.005734936626087043,1.9585577272726894e-06,-0.129002870628625,0.6752888413623003,-0.048147400127387656,-0.15099431581097117,-0.7397921635896829,0.8579009475529307
22,陳求道,Chen Qiudao,1067,cluster1_song_and_before,宋,hydraulic,水利/河道,0,1,0,0,0,1,114.271622,29.892479,咸寧,0,0,1,0,0,4,1.0,0.0016531840488206672,0.0,-0.3765957911692267,1.5173807213961439,-0.29051287651751556,-0.15247069472655322,-0.4079064283662619,-0.5340649568771547
25,陳洎,Chen Ji,986,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,117.187683,34.269634,彭城,0,0,0,0,0,20,0.8052631578947368,0.0084348129537594,3.473944233932052e-06,-0.016460634019260605,1.0390873070786755,0.11216530868186961,-0.1498520034572246,0.24341492409352491,0.6972144124542192
28,陳絳,Chen Jiang,970,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,119.011101,25.433954,莆田,0,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,0.6506872952337401,-1.788233440777808
