metric,value
total_nodes,3063
raw_geo_nodes,2778
invalid_zero_coord_nodes,1
valid_geo_nodes,2777
valid_geo_share_pct,90.6627
k_neighbors,8
permutations,999
seed,20260608
external_chgis_used,no
external_hydraulic_population_frontier_variables_used,no
cluster1_song_and_before_total_nodes,1613
cluster1_song_and_before_valid_geo_nodes,1527
cluster2_yuan_ming_total_nodes,1020
cluster2_yuan_ming_valid_geo_nodes,998
cluster3_qing_after_total_nodes,430
cluster3_qing_after_valid_geo_nodes,252
model_converged,True
model_iterations,3200
log_likelihood,-1729.0469019466232
mean_negative_log_likelihood,0.6226312214427884
aic,3538.0938038932463
bic,3775.2588633855185
training_accuracy,0.7101188332733165
l2_penalty,0.0001
n_model_rows,2777
n_model_features,20
model_features,intercept;x_model_z;y_model_z;x_model_z_sq;y_model_z_sq;xy_model_z;is_high_official;has_civil_exam;has_yin_privilege;has_recommendation;has_technical_exam;degree_z;clustering_z;eigenvector_z;betweenness_z;bureau_astronomical;bureau_medical;bureau_hydraulic;bureau_military_industrial;bureau_construction
