outcome_cluster,outcome_cluster_label,baseline_cluster,baseline_cluster_label,feature,coefficient,odds_ratio,model
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,intercept,-2.7016156815209715,0.06709701770502162,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,x_model_z,0.44036993175509953,1.5532817204745437,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,y_model_z,-0.05872919691352956,0.9429620916293205,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,x_model_z_sq,0.020303580329203468,1.0205111001015688,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,y_model_z_sq,-0.004598267669771137,0.9954122881772757,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,xy_model_z,0.521766764709471,1.685002023526386,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,is_high_official,-1.8616170740405853,0.15542109962532802,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,has_civil_exam,1.072298594872904,2.9220884840124355,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,has_yin_privilege,-2.77389341253245,0.062418510027855464,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,has_recommendation,0.5429718544852135,1.721114170204078,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,has_technical_exam,-1.5357614818893426,0.21529168801360193,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,degree_z,0.30427565928306693,1.3556427000828877,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,clustering_z,-0.04724127195681805,0.9538572308244886,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,eigenvector_z,-10.23661516802647,3.583393645061091e-05,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,betweenness_z,-0.28626504724547763,0.7510635222456831,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,bureau_astronomical,-0.07688267233214796,0.9259984924767549,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,bureau_medical,2.300727787807442,9.981444185373489,baseline_category_multinomial_logit_numpy_l2
cluster2_yuan_ming,Yuan and Ming,cluster1_song_and_before,Song and before,bureau_hydraulic,0.5141143863024387,1.672156960748927,baseline_category_multinomial_logit_numpy_l2
