cluster,cluster_label,rank,addr_name_chn,count,share_of_valid_cluster_pct
cluster1_song_and_before,Song and before,1,開封,85,5.5665
cluster1_song_and_before,Song and before,2,洛陽,80,5.239
cluster1_song_and_before,Song and before,3,長安,43,2.816
cluster1_song_and_before,Song and before,4,吳縣,33,2.1611
cluster1_song_and_before,Song and before,5,萬年,29,1.8991
cluster1_song_and_before,Song and before,6,莆田,25,1.6372
cluster1_song_and_before,Song and before,7,鄞縣,24,1.5717
cluster1_song_and_before,Song and before,8,管城,19,1.2443
cluster1_song_and_before,Song and before,9,錢塘,17,1.1133
cluster1_song_and_before,Song and before,10,晉江,16,1.0478
cluster2_yuan_ming,Yuan and Ming,1,餘姚,31,3.1062
cluster2_yuan_ming,Yuan and Ming,2,歙縣,20,2.004
cluster2_yuan_ming,Yuan and Ming,3,華亭,20,2.004
cluster2_yuan_ming,Yuan and Ming,4,南昌,19,1.9038
cluster2_yuan_ming,Yuan and Ming,5,豐城,17,1.7034
cluster2_yuan_ming,Yuan and Ming,6,進賢,17,1.7034
cluster2_yuan_ming,Yuan and Ming,7,吳江,15,1.503
cluster2_yuan_ming,Yuan and Ming,8,錢塘,14,1.4028
cluster2_yuan_ming,Yuan and Ming,9,長洲,14,1.4028
cluster2_yuan_ming,Yuan and Ming,10,無錫,14,1.4028
cluster3_qing_after,Qing and after,1,歙縣,11,4.3651
cluster3_qing_after,Qing and after,2,仁和,7,2.7778
cluster3_qing_after,Qing and after,3,武進,6,2.381
cluster3_qing_after,Qing and after,4,錢塘,5,1.9841
cluster3_qing_after,Qing and after,5,昆明,5,1.9841
cluster3_qing_after,Qing and after,6,大興,4,1.5873
cluster3_qing_after,Qing and after,7,吳縣,4,1.5873
cluster3_qing_after,Qing and after,8,山陰,4,1.5873
cluster3_qing_after,Qing and after,9,歸安,4,1.5873
cluster3_qing_after,Qing and after,10,長洲,4,1.5873
