metric,value
total_science_official_nodes,3063
nodes_with_any_posting,3063
posting_rows,26532
posting_rows_with_sequence,24124
posting_rows_with_sequence_pct,90.9242
posting_rows_with_positive_firstyear,9224
posting_rows_with_positive_firstyear_pct,34.7656
posting_rows_with_category,15889
posting_rows_with_category_pct,59.8862
nodes_with_two_or_more_sequenced_postings,2449
nodes_with_any_year,1507
unique_collapsed_career_sequences,924
career_types_requested,6
career_types_estimated,6
seed,20260608
outline_docx_modified,no
cluster1_song_and_before_nodes,1613
cluster1_song_and_before_posting_rows,15998
cluster1_song_and_before_high_official_nodes,110
cluster2_yuan_ming_nodes,1020
cluster2_yuan_ming_posting_rows,7266
cluster2_yuan_ming_high_official_nodes,8
cluster3_qing_after_nodes,430
cluster3_qing_after_posting_rows,3268
cluster3_qing_after_high_official_nodes,3
high_status_logit_converged,True
high_status_logit_iterations,3000
high_status_logit_rows,3063
high_status_logit_features,20
high_status_logit_positive_rate,0.03950375448906301
high_status_logit_accuracy,0.9653934051583415
high_status_logit_log_likelihood,-303.17959809036523
high_status_logit_aic,646.3591961807305
high_status_logit_bic,766.9021983173859
high_status_logit_l2_penalty,0.0001
high_status_logit_model_features,intercept;cluster2_yuan_ming;cluster3_qing_after;log_posting_count_z;collapsed_sequence_length_z;career_span_years_z;technical_domain_share_z;has_civil_exam;has_yin_privilege;has_recommendation;has_technical_exam;degree_z;clustering_z;eigenvector_z;betweenness_z;bureau_astronomical;bureau_medical;bureau_hydraulic;bureau_military_industrial;bureau_construction
