id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z,cluster_label,posting_count,sequenced_posting_count,firstyear_posting_count,lastyear_posting_count,category_posting_count,sequence_length,collapsed_sequence_length,career_sequence,collapsed_career_sequence,first_state,last_state,dominant_domain,dominant_category,technical_domain_postings,technical_domain_share,has_astronomical_posting,has_medical_posting,has_hydraulic_posting,has_military_industrial_posting,has_construction_posting,first_posting_year,last_posting_year,career_span_years,has_any_year,has_two_or_more_sequenced_postings,career_type,distance_to_career_type_medoid
3,安燾,An Tao,1065,cluster1_song_and_before,宋,military_industrial,军器/制造,1,1,0,0,0,1,114.34333,34.785477,開封,0,0,0,1,0,2,0.0,0.0042650663837034,5.232154524665142e-05,0.4568496458721299,-0.178123192418193,0.029911052534489,0.0644109241235315,-0.3918899761925293,0.8423193593235898,Song and before,24,20,8,5,20,24,12,domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > domain_military_industrial > domain_military_industrial > category_unknown_category > domain_military_industrial > category_missing_category > category_missing_category > category_missing_category > category_missing_category,domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_missing_category,domain_military_industrial,category_missing_category,other,unknown_category,7,0.2916666666666667,0,0,0,1,0,1076.0,1085.0,9.0,1,1,career_type_3,3.0
4,查道,Zha Dao,955,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,120.558662,32.384022,如皋,0,0,0,0,0,5,0.2,0.0051085729012887,0.0002745983656618,1.5586846579243614,1.367248988127309,0.0776256571369945,0.796626162858863,0.9963451959203228,0.1667979309351339,Song and before,23,21,18,11,22,23,15,category_unknown_category > category_unknown_category > domain_military_industrial > domain_military_industrial > category_unknown_category > category_unknown_category > domain_construction > category_unknown_category > category_unknown_category > category_Nominal supernumerary appointment > domain_military_industrial > category_unknown_category > category_Titular office > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > domain_military_industrial > domain_military_industrial,category_unknown_category > domain_military_industrial > category_unknown_category > domain_construction > category_unknown_category > category_Nominal supernumerary appointment > domain_military_industrial > category_unknown_category > category_Titular office > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial,category_unknown_category,domain_military_industrial,other,unknown_category,8,0.34782608695652173,0,0,0,1,1,988.0,1018.0,30.0,1,1,career_type_3,6.0
10,晁謙之,Chao Qianzhi,1091,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,117.776588,28.208446,鉛山,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,0.3749507188078079,-1.0077779257286632,Song and before,13,10,3,3,11,13,9,domain_military_industrial > category_Commission > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_construction > category_Nominal supernumerary appointment > domain_military_industrial > category_missing_category,domain_military_industrial > category_Commission > category_unknown_category > domain_military_industrial > category_unknown_category > domain_construction > category_Nominal supernumerary appointment > domain_military_industrial > category_missing_category,domain_military_industrial,category_missing_category,other,unknown_category,4,0.3076923076923077,0,0,0,1,1,1138.0,1140.0,2.0,1,1,career_type_2,7.0
13,晁補之,Chao Buzhi,1049,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,116.08870697,35.396209717,鉅野,0,0,0,0,0,17,0.0661764705882353,0.0991160764569002,0.0016335920391283,5.966024706133287,0.3332131908505392,5.395344925821878,5.27336771062123,-0.0020485810185032,1.014116472886576,Song and before,15,11,4,3,14,15,12,domain_military_industrial > domain_military_industrial > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_Nominal supernumerary appointment > category_Office > category_Dignitary > category_Salary rank > domain_construction > domain_military_industrial > domain_military_industrial > category_Salary rank > domain_military_industrial,domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_Nominal supernumerary appointment > category_Office > category_Dignitary > category_Salary rank > domain_construction > domain_military_industrial > category_Salary rank > domain_military_industrial,domain_military_industrial,domain_military_industrial,military_industrial,Commission,8,0.5333333333333333,0,0,0,1,1,1086.0,1102.0,16.0,1,1,career_type_3,9.0
15,陳安期,Chen Anqi,1020,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,112.785721,34.840869,河陽,0,0,0,0,0,4,0.8333333333333334,0.0021076930159938,0.0,1.1914063205736174,6.260927559854733,-0.092125013665594,-0.107944576878429,-0.7397921635896829,0.8579009475529307,Song and before,2,1,2,1,2,2,1,domain_construction > domain_construction,domain_construction,domain_construction,domain_construction,construction,unknown_category,2,1.0,0,0,0,0,1,1086.0,1089.0,3.0,1,0,career_type_1,1.0
16,陳安民,Chen Anmin,1027,cluster1_song_and_before,宋,hydraulic,水利/河道,0,1,1,0,0,1,112.785721,34.840869,河陽,0,0,1,0,0,1,0.0,0.0001095751528463,0.0,0.0895713085213861,-0.178123192418193,-0.2051524791346379,-0.107944576878429,-0.7397921635896829,0.8579009475529307,Song and before,4,4,2,1,4,4,4,domain_hydraulic > category_unknown_category > domain_hydraulic > category_unknown_category,domain_hydraulic > category_unknown_category > domain_hydraulic > category_unknown_category,domain_hydraulic,category_unknown_category,hydraulic,unknown_category,2,0.5,0,0,1,0,0,1088.0,1098.0,10.0,1,1,career_type_1,3.0
18,陳安道,Chen Andao,1020,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,112.785721,34.840869,河陽,0,0,0,0,0,5,0.5,0.005959844160047,7.29214605056407e-05,1.5586846579243614,3.685307258945562,0.1257794895903642,0.1322703250323428,-0.7397921635896829,0.8579009475529307,Song and before,4,4,2,2,4,4,3,category_unknown_category > domain_construction > category_unknown_category > category_unknown_category,category_unknown_category > domain_construction > category_unknown_category,category_unknown_category,category_unknown_category,other,unknown_category,1,0.25,0,0,0,0,1,1063.0,1071.0,8.0,1,1,career_type_1,1.0
22,陳求道,Chen Qiudao,1067,cluster1_song_and_before,宋,hydraulic,水利/河道,0,1,0,0,0,1,114.271622,29.892479,咸寧,0,0,1,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,-0.4079064283662619,-0.5340649568771547,Song and before,4,2,3,3,4,4,4,domain_hydraulic > category_unknown_category > domain_military_industrial > domain_hydraulic,domain_hydraulic > category_unknown_category > domain_military_industrial > domain_hydraulic,domain_hydraulic,domain_hydraulic,hydraulic,unknown_category,3,0.75,0,0,1,1,0,1126.0,1130.0,4.0,1,1,career_type_1,3.0
25,陳洎,Chen Ji,986,cluster1_song_and_before,宋,works_general,工部,0,0,0,0,0,1,117.187683,34.269634,彭城,0,0,0,0,0,2,0.0,0.0086953930469477,0.0003866689807252,0.4568496458721299,-0.178123192418193,0.280521190796117,1.165804613453133,0.2434149240935249,0.6972144124542192,Song and before,8,7,5,2,8,8,7,domain_military_industrial > category_Titular office > domain_military_industrial > category_unknown_category > domain_construction > category_unknown_category > category_unknown_category > domain_military_industrial,domain_military_industrial > category_Titular office > domain_military_industrial > category_unknown_category > domain_construction > category_unknown_category > domain_military_industrial,domain_military_industrial,domain_military_industrial,other,unknown_category,4,0.5,0,0,0,1,1,1034.0,1048.0,14.0,1,1,career_type_1,5.0
28,陳絳,Chen Jiang,970,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,119.011101,25.433954,莆田,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,0.6506872952337401,-1.788233440777808,Song and before,8,8,5,4,8,8,5,domain_military_industrial > domain_military_industrial > domain_military_industrial > domain_construction > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category,domain_military_industrial > domain_construction > category_unknown_category > domain_military_industrial > category_unknown_category,domain_military_industrial,category_unknown_category,military_industrial,unknown_category,5,0.625,0,0,0,1,1,1009.0,1024.0,15.0,1,1,career_type_1,3.0
