cluster,cluster_label,from_state,to_state,transition_count,share_of_cluster_transitions_pct
cluster1_song_and_before,Song and before,category_unknown_category,domain_military_industrial,941,12.8342
cluster1_song_and_before,Song and before,domain_military_industrial,category_unknown_category,843,11.4975
cluster1_song_and_before,Song and before,domain_construction,category_unknown_category,720,9.82
cluster1_song_and_before,Song and before,category_unknown_category,domain_construction,659,8.988
cluster1_song_and_before,Song and before,domain_military_industrial,domain_construction,303,4.1326
cluster1_song_and_before,Song and before,domain_construction,domain_military_industrial,286,3.9007
cluster1_song_and_before,Song and before,domain_military_industrial,category_Nominal supernumerary appointment,267,3.6416
cluster1_song_and_before,Song and before,category_Nominal supernumerary appointment,domain_military_industrial,265,3.6143
cluster1_song_and_before,Song and before,category_Titular office,domain_military_industrial,239,3.2597
cluster1_song_and_before,Song and before,domain_military_industrial,category_Titular office,220,3.0005
cluster1_song_and_before,Song and before,category_Salary rank,domain_military_industrial,178,2.4277
cluster1_song_and_before,Song and before,domain_military_industrial,category_missing_category,147,2.0049
cluster1_song_and_before,Song and before,category_unknown_category,category_missing_category,119,1.623
cluster1_song_and_before,Song and before,domain_military_industrial,category_Salary rank,114,1.5548
cluster1_song_and_before,Song and before,category_Nominal supernumerary appointment,category_unknown_category,78,1.0638
cluster1_song_and_before,Song and before,category_Titular office,category_unknown_category,78,1.0638
cluster1_song_and_before,Song and before,category_missing_category,domain_military_industrial,77,1.0502
cluster1_song_and_before,Song and before,category_Salary rank,category_Nominal supernumerary appointment,73,0.9956
cluster1_song_and_before,Song and before,domain_construction,category_missing_category,65,0.8865
cluster1_song_and_before,Song and before,category_unknown_category,category_Nominal supernumerary appointment,58,0.7911
cluster1_song_and_before,Song and before,category_Nominal supernumerary appointment,domain_construction,51,0.6956
cluster1_song_and_before,Song and before,domain_military_industrial,category_Concurrent appointment,50,0.6819
cluster1_song_and_before,Song and before,category_unknown_category,category_Titular office,48,0.6547
cluster1_song_and_before,Song and before,category_unknown_category,category_Salary rank,47,0.641
cluster1_song_and_before,Song and before,category_unknown_category,domain_hydraulic,45,0.6137
cluster1_song_and_before,Song and before,category_Nobility,category_unknown_category,42,0.5728
cluster1_song_and_before,Song and before,domain_hydraulic,category_unknown_category,39,0.5319
cluster1_song_and_before,Song and before,category_Concurrent appointment,domain_military_industrial,38,0.5183
cluster1_song_and_before,Song and before,category_missing_category,category_unknown_category,38,0.5183
cluster1_song_and_before,Song and before,category_unknown_category,category_Nobility,37,0.5046
cluster1_song_and_before,Song and before,category_Nominal supernumerary appointment,category_Titular office,36,0.491
cluster1_song_and_before,Song and before,category_missing_category,domain_construction,36,0.491
cluster1_song_and_before,Song and before,category_unknown_category,category_Concurrent appointment,35,0.4774
cluster1_song_and_before,Song and before,category_Nominal supernumerary appointment,category_Salary rank,34,0.4637
cluster1_song_and_before,Song and before,category_Titular office,domain_construction,30,0.4092
cluster1_song_and_before,Song and before,category_Commission,domain_military_industrial,29,0.3955
cluster1_song_and_before,Song and before,domain_construction,category_Titular office,29,0.3955
cluster1_song_and_before,Song and before,category_unknown_category,domain_astronomical,26,0.3546
cluster1_song_and_before,Song and before,domain_astronomical,category_unknown_category,25,0.341
