metric,value
father_son_pairs,116312
pairs_with_child_index_year,107714
pairs_with_father_index_year,103696
science_fathers,2692
science_children,2540
civil_exam_fathers,14301
civil_exam_children,42811
same_surname_pairs,90220
seed,20260608
outline_docx_modified,no
science_official_transmission_converged,True
science_official_transmission_iterations,11
science_official_transmission_rows,107714
science_official_transmission_features,8
science_official_transmission_positive_rate,0.023580964405741128
science_official_transmission_accuracy,0.9764190355942589
science_official_transmission_log_likelihood,-11531.003514983544
science_official_transmission_aic,23078.007029967088
science_official_transmission_bic,23154.70490873038
science_official_transmission_l2_penalty,0.0001
civil_exam_transmission_converged,True
civil_exam_transmission_iterations,10
civil_exam_transmission_rows,107714
civil_exam_transmission_features,8
civil_exam_transmission_positive_rate,0.39357000946952114
civil_exam_transmission_accuracy,0.8586720389178751
civil_exam_transmission_log_likelihood,-37518.11867630419
civil_exam_transmission_aic,75052.23735260838
civil_exam_transmission_bic,75128.93523137168
civil_exam_transmission_l2_penalty,0.0001
